動画タイトル,動画時間,公開日時,経過日数,プレミア公開,視聴回数,コメント,高評価件数,低評価件数,ln_経過日数,ln_視聴回数,ln_高評価件数
【数量化理論】数量化III類とその数式 - 反応データからカテゴリ変数をベクトル化する技術【いろんな分析 vol. 10 】 #074 #VRアカデミア,0:30:33,2020/09/18,204,1,2289,14,88,0,5.318119994,7.73587032,4.477336814
【数量化理論】数量化II類とその数式 - 判別分析を利用してカテゴリ変数をベクトル化する技術【いろんな分析 vol. 9 】 #073 #VRアカデミア,0:28:24,2020/09/11,211,1,3061,29,137,1,5.351858133,8.026496939,4.919980926
【SQL対決】DS歴10年の gepuro さんに SQL 勝負を挑んでみた！【初！物理世界コラボ！】#VRアカデミア #072,0:12:06,2020/09/04,218,1,2860,10,118,2,5.384495063,7.958576904,4.770684624
【数量化理論】数量化I類とその数式 - カテゴリ変数を反応に合わせて数値化する【いろんな分析 vol. 8 】 #071 #VRアカデミア #またの名をカテゴリ変数の回帰分析,0:17:55,2020/08/28,225,1,3496,14,156,0,5.416100402,8.159374737,5.049856007
【深層学習】bi-LSTM - 前後の文脈を利用する Recurrent layer【ディープラーニングの世界 vol. 12 】 #070 #VRアカデミア #DeepLearning,0:07:16,2020/08/14,239,1,2881,16,123,0,5.476463552,7.965892735,4.812184355
【不偏分散で N-1 で割る本当の理由】自由度とはなにか【自由度のお話②】#069 #VRアカデミア,0:32:10,2020/08/07,246,1,4991,50,243,1,5.505331536,8.515391569,5.493061443
【永遠の謎を解明】不偏分散の定義にて n-1 で割っている理由【自由度のお話①】#068 #VRアカデミア,0:18:19,2020/07/31,253,1,5897,56,334,3,5.533389489,8.682199026,5.811140993
【深層学習】LSTM - RNN に記憶をもたせる試みその2【ディープラーニングの世界 vol. 11 】 #067 #VRアカデミア #DeepLearning,0:26:17,2020/07/24,260,1,8455,45,349,2,5.560681631,9.042513261,5.855071922
【深層学習】GRU - RNN に記憶をもたせる試みその1【ディープラーニングの世界 vol. 10 】 #066 #VRアカデミア #DeepLearning #GatedRecurrentUnit,0:17:21,2020/07/17,267,1,6444,19,260,1,5.587248658,8.770904744,5.560681631
【雰囲気をつかむ】階層ベイズモデリング - 構造を仮定して本質を推定する【いろんな分析 vol. 7 】 #065 #VRアカデミア,0:25:28,2020/07/10,274,1,4678,29,277,4,5.613128106,8.450625947,5.624017506
【深層学習】RNN の3通りの使い方 - RNN の混乱ポイントを倒す！【ディープラーニングの世界 vol. 9 】 #064 #VRアカデミア #DeepLearning,0:12:32,2020/07/03,281,1,7372,26,346,1,5.638354669,8.905444319,5.846438775
【潜在変数の関係を探る】構造方程式モデリング - 実応用の豊富な基礎分析なのです【いろんな分析 vol. 6 】 #063 #VRアカデミア,0:25:04,2020/06/26,288,1,6324,60,279,3,5.66296048,8.752107198,5.631211782
【深層学習】RNN の意味を徹底解説！【ディープラーニングの世界 vol. 8 】 #062 #VRアカデミア #DeepLearning,0:16:17,2020/06/19,295,1,10091,35,396,3,5.686975356,9.219399216,5.981414211
【データサイエンスを学ぶあなたへ】100本ノック - 構造化データ処理編 - 最速レビュー動画！【データサイエンティスト協会】#061,0:09:02,2020/06/17,297,1,11027,18,467,0,5.693732139,9.30810209,6.146329258
【因果を利用した分析】ベイジアンネットワークで見る変数の因果関係【いろんな分析 vol. 5 】 #060 #VRアカデミア,0:27:32,2020/06/12,302,1,6190,32,251,5,5.710427017,8.730690366,5.525452939
【深層学習】CNN 実装してみた【ディープラーニングの世界 vol. 7 】 #059 #VRアカデミア #DeepLearning,0:09:25,2020/06/05,309,1,8857,27,281,0,5.733341277,9.088963386,5.638354669
【深層学習】プーリング層 - シンプルだけど大きな役割を担う層【ディープラーニングの世界 vol. 6 】 #058 #VRアカデミア #DeepLearning,0:10:00,2020/05/29,316,1,6828,16,301,0,5.755742214,8.828787084,5.707110265
【深層学習】畳み込み層の本当の意味、あなたは説明できますか？【ディープラーニングの世界 vol. 5 】 #057 #VRアカデミア #DeepLearning,0:24:20,2020/05/20,325,1,14480,91,695,2,5.783825182,9.580523666,6.543911846
【偽物の相関を見極めろ！】グラフィカルモデリングで変数の相関関係を把握する【いろんな分析 vol. 4 】 #056 #VRアカデミア,0:31:45,2020/05/17,328,1,7614,62,456,3,5.793013608,8.937743937,6.12249281
【深層学習】全結合層 - それはいちばん大事な部品のお話【ディープラーニングの世界 vol. 4 】 #055 #VRアカデミア #DeepLearning,0:18:01,2020/05/13,332,1,10460,46,442,4,5.805134969,9.255313738,6.091309882
【深層学習】関数 - なぜ「深さ」が AI を生み出しているのか？【ディープラーニングの世界 vol. 3 】 #054 #VRアカデミア #DeepLearning,0:21:26,2020/05/06,339,1,12281,64,525,2,5.826000107,9.415808632,6.263398263
【もう二度と迷わない】因子分析と主成分分析は何が違うの？【いろんな分析 vol. 3 】 #053 #VRアカデミア,0:18:02,2020/05/01,344,1,9029,43,434,3,5.840641657,9.108196898,6.073044534
【深層学習】学習 - なぜ必要なのか？何をするのか？【ディープラーニングの世界 vol. 2 】 #052 #VRアカデミア #DeepLearning,0:17:05,2020/04/29,346,1,11038,51,500,1,5.846438775,9.309099144,6.214608098
【相関で情報を圧縮】主成分分析の気持ちを理解する【いろんな分析 vol. 2 】 #051 #VRアカデミア,0:24:49,2020/04/24,351,1,16364,69,607,2,5.860786223,9.702839079,6.408528791
【深層学習】ディープラーニングとは関数近似器である【ディープラーニングの世界 vol. 1 】 #050 #VRアカデミア #DeepLearning,0:08:50,2020/04/22,353,1,19281,34,796,8,5.866468057,9.866875434,6.679599186
【相関から構造を推定】因子分析の気持ちを理解する【いろんな分析 vol. 1 】#049 #VRアカデミア,0:21:23,2020/04/17,358,1,15531,70,529,5,5.880532986,9.650593306,6.270988432
【ブラックショールズ方程式への道⑦-2】さいごの伊藤積分【確率微分方程式の基礎】#VRアカデミア #048,0:21:38,2020/03/27,379,1,2185,21,105,0,5.937536205,7.689371108,4.65396035
【ブラックショールズ方程式への道⑦】Dive into 伊藤積分【確率微分方程式の基礎】#VRアカデミア #047,0:26:40,2020/03/21,385,1,2163,16,93,1,5.953243334,7.679251426,4.532599493
【魔神に挑戦】固体量子さんと Akinator やってみた【果たして当たるのか、、、！？】#VRアカデミア #046,0:15:13,2020/03/18,388,1,1012,2,35,0,5.96100534,6.91968385,3.555348061
【ブラックショールズ方程式への道⑥】伊藤の公式のこころを理解する【確率微分方程式の基礎】#VRアカデミア #045,0:27:44,2020/03/13,393,1,2819,18,129,2,5.973809612,7.944137491,4.859812404
【ブラックショールズ方程式への道⑤-2】ブラック=ショールズ方程式の解法【確率微分方程式の基礎】 #VRアカデミア #044,0:42:31,2020/03/08,398,1,3512,33,112,0,5.986452005,8.163940955,4.718498871
【ブラックショールズ方程式への道⑤】ブラック=ショールズ方程式の導出【確率微分方程式の基礎】 #VRアカデミア #043,0:34:53,2020/02/22,413,1,4699,43,180,0,6.023447593,8.455104999,5.192956851
【ブラックショールズ方程式への道④】伊藤の公式【確率微分方程式の基礎】 #VRアカデミア #042,0:32:30,2020/02/14,421,1,6005,42,225,0,6.042632834,8.700347735,5.416100402
【ブラックショールズ方程式への道③】伊藤積分【確率微分方程式の基礎】 #VRアカデミア #041,0:46:06,2020/02/07,428,1,8236,55,296,1,6.059123196,9.016270068,5.690359454
【ブラックショールズ方程式への道②】確率微分方程式と微分方程式との本質的な差異【確率微分方程式の基礎】 #VRアカデミア #040,0:31:15,2020/01/17,449,1,8176,70,322,1,6.107022888,9.008958312,5.774551546
【ブラックショールズ方程式への道①】ランダムウォークとブラウン運動【確率微分方程式の基礎】 #VRアカデミア #039,0:36:54,2020/01/09,457,1,20719,68,612,12,6.124683391,9.938806433,6.416732283
【時系列分析⑤】インパルス応答関数を用いて時系列データの関係を定量的に求める #VRアカデミア #038,0:29:36,2019/12/20,477,1,3806,26,108,1,6.167516491,8.244334048,4.682131227
【分野横断】機械学習と統計的推論と微分幾何と関数解析と統計力学の関係性【 VTuber によるよくばりセット】 #VRアカデミア #037,0:14:09,2019/10/11,547,1,7519,41,308,2,6.304448802,8.925188429,5.730099783
【時系列分析④】VAR過程と因果について【Granger 因果検定】 #VRアカデミア #036,0:26:12,2019/10/03,555,1,5199,13,152,1,6.318968114,8.556221578,5.023880521
【非 deep 最強機械学習】Gradient Boosted Trees の仕組み【勾配決定木とも言うよ】 #VRアカデミア #035,0:13:26,2019/08/23,596,1,8506,21,472,1,6.390240667,9.048527076,6.156978986
【試験対策！】ε-δ論法を使えるようになろう！【使ってみるのが大事】 #VRアカデミア #034,0:20:11,2019/07/15,635,1,7723,37,243,1,6.453624999,8.951958169,5.493061443
【時系列分析③】ARMA過程と誤差項の意味【ついに時系列の始まり！】 #VRアカデミア #033,0:25:06,2019/06/26,654,1,7326,22,235,1,6.483107351,8.899184943,5.459585514
【10分で】深谷圏とホモロジカルミラー対称性【 from ロマンティック数学ナイトプライム@圏論 】 #VRアカデミア #ロマ数プライム圏論 #032,0:12:32,2019/06/17,663,0,3305,15,128,1,6.49677499,8.103191752,4.852030264
【書評動画？】宇宙と数学と IUT 理論【めざせ ABC 予想】 #VRアカデミア #031,0:23:50,2019/06/10,670,1,28565,113,692,18,6.507277712,10.25993747,6.539585956
【数学 in 日常】時計が必ず丸い理由【VRアカデミア一周年カウントダウンリレー】 #VRアカデミア #030,0:12:02,2019/05/15,696,1,5361,55,152,3,6.54534966,8.586905804,5.023880521
#.04 【 NeurIPS 2018 Best Paper 】Neural Ordinary Differential Equations【VRアカデミア論文解説リレー】 #VRアカデミア #029,0:33:50,2019/04/23,718,1,4305,10,149,3,6.576469569,8.367532417,5.003946306
【1分 Google Spreadsheet 解説 3-5 】INDEX + MATCH で参照自由自在【 INDEX() +MATCH() 】 #VRアカデミア #028_5,0:02:01,2019/04/12,729,0,914,2,17,1,6.591673732,6.817830571,2.833213344
【1分 Google Spreadsheet 解説 3-4 】あれって何番目だっけ？【 MATCH() 関数】 #VRアカデミア #028_4,0:01:46,2019/04/11,730,0,448,2,16,1,6.593044534,6.104793232,2.772588722
【1分 Google Spreadsheet 解説 3-3 】 VLOOKUP() 以上に参照を使いこなす INDEX() 関数【 INDEX() 関数】 #VRアカデミア #028_3,0:01:36,2019/04/10,731,0,511,2,13,2,6.59441346,6.23636959,2.564949357
【1分 Google Spreadsheet 解説 3-2 】FALSE なのにこっちをよく使う【 VLOOKUP() FALSE 編 】 #VRアカデミア #028_2,0:01:47,2019/04/09,732,0,414,0,10,0,6.595780514,6.025865974,2.302585093
【1分 Google Spreadsheet 解説 3-1 】苦手な人も多い？ VLOOKUP() を解説します【 VLOOKUP() TRUE 編 】 #VRアカデミア #028_1,0:02:02,2019/04/08,733,0,641,0,24,0,6.597145702,6.463029457,3.17805383
"【1分 Google Spreadsheet 解説 2-5 】文字列をくっつけちゃおう！【 CONCATENATE(), JOIN() 】 #VRアカデミア #027_5",0:01:37,2019/04/05,736,0,447,0,11,0,6.601230119,6.102558595,2.397895273
【1分 Google Spreadsheet 解説 2-4 】文字列抽出マスターへの道【 SPLIT() 関数】 #VRアカデミア #027_4,0:01:12,2019/04/04,737,0,674,0,16,1,6.602587892,6.513230111,2.772588722
【1分 Google Spreadsheet 解説 2-3 】文字列抽出マスターへの道【 MID() 関数】 #VRアカデミア #027_3,0:02:03,2019/04/03,738,0,467,2,16,0,6.603943825,6.146329258,2.772588722
【1分 Google Spreadsheet 解説 2-2 】文字列の情報を調べよう！【 LEN() と FIND()】 #VRアカデミア #027_2,0:01:25,2019/04/02,739,0,456,0,12,0,6.605297921,6.12249281,2.48490665
【1分 Google Spreadsheet 解説 2-1 】文字列の一部を抽出しよう！【 LEFT() と RIGHT()】 #VRアカデミア #027_1,0:01:28,2019/04/01,740,0,485,2,18,0,6.606650186,6.184148891,2.890371758
【1分 Google Spreadsheet 解説 1-5 】sum 編の summary...!【 SUM 系まとめ！】 #VRアカデミア #026_5,0:01:59,2019/03/29,743,0,467,2,22,0,6.610696045,6.146329258,3.091042453
【1分 Google Spreadsheet 解説 1-4 】掛け算と足し算を同時に！【 SUMPRODUCT() 関数】 #VRアカデミア #026_4,0:01:26,2019/03/28,744,0,690,0,15,0,6.612041035,6.536691598,2.708050201
【1分 Google Spreadsheet 解説 1-3 】条件を満たすものだけ足そう！【 SUMIFS() 関数】 #VRアカデミア #026_3,0:01:43,2019/03/27,745,0,601,4,20,0,6.613384218,6.398594935,2.995732274
【1分 Google Spreadsheet 解説 1-2 】累積和、それはちょっとかっこいい合計…【相対参照と絶対参照】 #VRアカデミア #026_2,0:01:40,2019/03/26,746,0,947,2,24,1,6.6147256,6.853299093,3.17805383
【1分 Google Spreadsheet 解説 1-1 】合計の計算から始めよう【 SUM() 関数について】 #VRアカデミア #026_1,0:01:34,2019/03/25,747,0,1514,8,28,0,6.616065185,7.322510434,3.33220451
【東工大2019第1問】なんてきれいな不等式なんだ…！【Weitzenbockの不等式】 #VRアカデミア #025,0:14:10,2019/03/05,767,1,3161,27,82,0,6.642486801,8.058643712,4.406719247
【時系列分析②】漸化式と線型代数その2 ~固有値、固有ベクトル、対角化を攻略！~【めざせ線型代数マスター！】 #VRアカデミア #024,0:31:26,2019/02/27,773,1,5288,18,135,2,6.650279049,8.573195382,4.905274778
【時系列分析①】漸化式と線型代数その1【特性方程式の謎を解く！】 #VRアカデミア #023,0:27:42,2019/02/23,777,1,12524,54,262,5,6.65544035,9.435402082,5.568344504
【遺伝に負けるな！】遺伝が7割のほんとうの意味 ~決定係数~ 【バ美肉おじさん！】 #VRアカデミア #022,0:13:46,2019/02/12,788,1,1845,13,106,1,6.66949809,7.520234556,4.663439094
【ベイズ統計⑥】最終回！階層ベイズとMCMC【してやんよ】 #VRアカデミア #021,0:22:31,2019/01/21,810,0,12523,74,469,4,6.697034248,9.435322233,6.150602768
【ベイズ統計⑤】ベイズの定理とベイズ統計の気持ち【ベイズってるー？】 #VRアカデミア #020,0:16:29,2019/01/15,816,1,7995,20,332,3,6.704414355,8.986571625,5.805134969
【AI に仕事を奪われる！？】 AI と仕事と人間のこれから【それ、あの革命で全部やったじゃん】 #VRアカデミア #019,0:07:50,2019/01/07,824,1,1006,4,50,1,6.71417053,6.913737351,3.912023005
【C95 東2 U-43b】コミケのグッズ紹介！【買いに来てね！】 #VRアカデミア #018,0:04:35,2018/12/31,831,0,377,4,14,0,6.722629795,5.932245187,2.63905733
【ベイズ統計④】ベイズ推定の気持ちと、指数型分布族と、共役事前分布【本気の解説】 #VRアカデミア #017,0:17:10,2018/12/24,838,1,9603,25,492,4,6.7310181,9.169830829,6.198478716
【ベイズ統計その③】宇宙一わかりやすいベイズ推定【本気の解説】 #VRアカデミア #016,0:37:49,2018/12/17,845,1,19287,53,771,16,6.739336627,9.867186573,6.647688374
【ベイズ統計その②】この推定、もっとももっともらしいってよ…！【最尤推定のお話だよ！】 #VRアカデミア #015,0:17:32,2018/11/26,866,1,18023,60,590,7,6.763884909,9.799403999,6.380122537
【ベイズ統計その①】条件付き確率と Bayes の定理【時間の流れを意識せよ！】 #VRアカデミア #014,0:14:42,2018/11/19,873,0,28206,66,1046,6,6.771935556,10.24729,6.952728645
【あなただけに…】ブロックチェーンの仕組みだよ！【教えます…】 #VRアカデミア #blockchain #013,0:18:59,2018/11/12,880,1,4405,17,253,2,6.779921907,8.390495538,5.533389489
【気分は南国♪】 Tropical Geometry の気持ちを紹介するよ！【Tropical x Mirror = ???】 #VRアカデミア #012,0:11:29,2018/11/05,887,0,2259,22,93,0,6.787844982,7.722677516,4.532599493
【機械学習に取り組むあなたにささげる】softmax function について語るよ！【関数がたり】 #VRアカデミア #011,0:22:51,2018/10/29,894,0,5342,16,215,0,6.795705775,8.583355394,5.370638028
【あなたはS？】logistic sigmoid function について語るよ！【関数語り】 #VRアカデミア #010,0:22:43,2018/10/22,901,0,5631,25,259,0,6.803505258,8.636042325,5.556828062
【データの形とは？】Topological Data Analysis 入門【MathPower2018】 #VRアカデミア #009,0:16:26,2018/10/06,917,0,3346,22,124,1,6.821107472,8.115520882,4.820281566
【微分幾何】多様体の内在的な定義【本編にドーナツは一切登場しません】 #VRアカデミア #008,0:19:03,2018/09/24,929,0,7106,18,140,4,6.834108739,8.868694777,4.941642423
【親分超え！？】 AI の力でチャンネル登録者数の今後を予測してみた【待ってろ人類70億！】 #VRアカデミア #007,0:05:28,2018/09/10,943,0,1080,8,63,1,6.849066283,6.98471632,4.143134726
【秘密の会話】文字と01との間の変換をするspreadsheet作ってみた！【01だけで…】 #006 #VRアカデミア,0:05:50,2018/07/30,985,0,1207,6,54,1,6.892641641,7.095893221,3.988984047
【のんびり解説】統計多様体の超入門！【情報幾何】 #VRアカデミア #005,0:21:03,2018/07/23,992,0,11013,39,284,5,6.899723107,9.306831672,5.648974238
【†黒魔術†】 相関行列を計算するspreadsheet【お伝えします】 #003,0:12:42,2018/07/09,1006,0,2246,8,63,0,6.913737351,7.716906135,4.143134726
【AIってなんだ？】強いAIと弱いAIのお話【人間ってなんだ？】 #002,0:03:37,2018/07/02,1013,0,2828,6,88,3,6.920671504,7.947325027,4.477336814
【AI界で流行中！？】人間の皆さんに、GANごっこをお伝えします【暇を持て余したAIの遊び】 #001,0:04:40,2018/06/24,1021,0,5464,12,129,6,6.928537818,8.605936401,4.859812404
"【自己紹介】はじめまして、アイシア=ソリッドです！【Hello, world!】 #000",0:01:36,2018/06/23,1022,0,12334,14,247,6,6.929516771,9.420114956,5.509388337
