id,購買意欲,容量,形,色,回答者
102,◯,300ml,円柱,青,F
103,△,300ml,円柱,緑,F
104,×,300ml,円柱,赤,F
105,△,300ml,4角柱,青,F
106,×,300ml,4角柱,緑,F
107,×,300ml,4角柱,赤,F
108,△,1l,円柱,青,G
109,△,1l,円柱,緑,G
110,×,1l,円柱,赤,G
111,△,1l,4角柱,青,G
112,×,1l,4角柱,緑,G
113,×,1l,4角柱,赤,G
114,◯,500ml,円柱,青,G
115,◯,500ml,円柱,緑,G
116,◯,500ml,円柱,赤,G
117,◯,500ml,4角柱,青,G
118,×,500ml,4角柱,緑,G
119,×,500ml,4角柱,赤,G
120,◯,300ml,円柱,青,G
121,×,300ml,円柱,緑,G
122,×,300ml,円柱,赤,G
123,×,300ml,4角柱,青,G
124,△,300ml,4角柱,緑,G
125,×,300ml,4角柱,赤,G
126,◯,1l,円柱,青,H
127,△,1l,円柱,緑,H
128,×,1l,円柱,赤,H
129,◯,1l,4角柱,青,H
130,△,1l,4角柱,緑,H
131,×,1l,4角柱,赤,H
132,◯,500ml,円柱,青,H
133,◯,500ml,円柱,緑,H
134,◯,500ml,円柱,赤,H
135,◯,500ml,4角柱,青,H
136,×,500ml,4角柱,緑,H
137,×,500ml,4角柱,赤,H
138,◯,300ml,円柱,青,H
139,△,300ml,円柱,緑,H
140,×,300ml,円柱,赤,H
141,△,300ml,4角柱,青,H
142,×,300ml,4角柱,緑,H
143,△,300ml,4角柱,赤,H
144,◯,1l,円柱,青,I
145,×,1l,円柱,緑,I
146,△,1l,円柱,赤,I
147,×,1l,4角柱,青,I
148,×,1l,4角柱,緑,I
149,×,1l,4角柱,赤,I
150,◯,500ml,円柱,青,I
151,◯,500ml,円柱,緑,I
152,×,500ml,円柱,赤,I
153,◯,500ml,4角柱,青,I
154,△,500ml,4角柱,緑,I
155,◯,500ml,4角柱,赤,I
156,×,300ml,円柱,青,I
157,△,300ml,円柱,緑,I
158,◯,300ml,円柱,赤,I
159,×,300ml,4角柱,青,I
160,×,300ml,4角柱,緑,I
161,◯,300ml,4角柱,赤,I
162,△,1l,円柱,青,J
163,×,1l,円柱,緑,J
164,◯,1l,円柱,赤,J
165,△,1l,4角柱,青,J
166,×,1l,4角柱,緑,J
167,×,1l,4角柱,赤,J
168,◯,500ml,円柱,青,J
169,◯,500ml,円柱,緑,J
170,◯,500ml,円柱,赤,J
171,△,500ml,4角柱,青,J
172,◯,500ml,4角柱,緑,J
173,×,500ml,4角柱,赤,J
174,△,300ml,円柱,青,J
175,×,300ml,円柱,緑,J
176,×,300ml,円柱,赤,J
177,×,300ml,4角柱,青,J
178,×,300ml,4角柱,緑,J
179,×,300ml,4角柱,赤,J
180,◯,1l,円柱,青,K
181,△,1l,円柱,緑,K
182,◯,1l,円柱,赤,K
183,×,1l,4角柱,青,K
184,×,1l,4角柱,緑,K
185,◯,1l,4角柱,赤,K
186,◯,500ml,円柱,青,K
187,△,500ml,円柱,緑,K
188,◯,500ml,円柱,赤,K
189,◯,500ml,4角柱,青,K
190,◯,500ml,4角柱,緑,K
191,×,500ml,4角柱,赤,K
192,◯,300ml,円柱,青,K
193,△,300ml,円柱,緑,K
194,×,300ml,円柱,赤,K
195,△,300ml,4角柱,青,K
196,◯,300ml,4角柱,緑,K
197,×,300ml,4角柱,赤,K
198,◯,1l,円柱,青,L
199,×,1l,円柱,緑,L
200,△,1l,円柱,赤,L
201,◯,1l,4角柱,青,L
202,△,1l,4角柱,緑,L
203,×,1l,4角柱,赤,L
204,◯,500ml,円柱,青,L
205,◯,500ml,円柱,緑,L
206,△,500ml,円柱,赤,L
207,◯,500ml,4角柱,青,L
208,◯,500ml,4角柱,緑,L
209,△,500ml,4角柱,赤,L
210,◯,300ml,円柱,青,L
211,×,300ml,円柱,緑,L
212,△,300ml,円柱,赤,L
213,◯,300ml,4角柱,青,L
214,×,300ml,4角柱,緑,L
215,×,300ml,4角柱,赤,L
